Word,Category
shy,Germanic
twelve,Germanic
whilst,Germanic
bullet,French
challenge,French
command,Latin
examine,French
film,Germanic
appreciate,Latin
tense,French
blank,Germanic
blew,Germanic
fought,Germanic
gym,Latin
passenger,French
teenager,Germanic
dish,Germanic
drawn,Germanic
scary,Germanic
unlike,Germanic
straighten,Germanic
strain,Germanic
tune,French
constantly,Latin
famous,French
marriage,French
bound,Latin
fancy,Latin
issue,French
warmth,Germanic
awhile,Germanic
collect,Latin
concentrate,French
copy,Latin
disbelief,French
tighten,Germanic
determine,French
favor,French
mental,Latin
bush,Germanic
forgive,Germanic
aim,French
embrace,French
fairly,Germanic
froze,Germanic
insult,Latin
option,French
post,French
resist,French
spoken,Germanic
apple,Germanic
general,French
instant,French
jeep,Uncategorized
emerge,French
neighbor,Germanic
pressure,Latin
service,Latin
shuffle,Germanic
briefly,Germanic
notebook,Germanic
peace,French
string,Germanic
wine,Germanic
dash,Germanic
gut,Germanic
stress,Latin
connect,Latin
language,Latin
private,Latin
spring,Germanic
chip,Germanic
puppy,French
ache,Germanic
desperate,Latin
habit,French
necessary,French
nope,Germanic
pencil,French
satisfy,French
deny,French
mommy,Germanic
attitude,Latin
dial,French
painful,Germanic
display,French
frustrate,Latin
it'd,Germanic
tend,Germanic
exact,Latin
powerful,Germanic
nature,French
photo,Greek
total,French
video,Italian
egg,Germanic
occur,French
anybody,Germanic
corridor,French
gulp,Germanic
trace,Latin
whoever,Germanic
brief,French
exhaust,Latin
pout,Germanic
terrify,French
chapter,French
insane,Latin
spell,Germanic
surely,Germanic
tray,Germanic
alcohol,Arabic
chain,French
fashion,French
garage,French
inquire,Italian
candy,Arabic
similar,Latin
bark,Germanic
flirt,Germanic
pathetic,French
supply,French
tower,Germanic
engine,French
